Source,Rating,Guess,Path
Human,9,AI,./real_poems/99.txt
Human,9,Human,./real_poems/99.txt
Human,9,Human,./real_poems/41.txt
AI,1,Human,./fake_poems/87.txt
AI,7,AI,./fake_poems/87.txt
AI,9,AI,./fake_poems/62.txt
AI,2,AI,./fake_poems/80.txt
AI,7,AI,./fake_poems/15.txt
Human,9,Human,./real_poems/61.txt
AI,5,Human,./fake_poems/74.txt
AI,5,AI,./fake_poems/74.txt
AI,5,Human,./fake_poems/74.txt
Human,7,Human,./real_poems/75.txt
AI,7,AI,./fake_poems/94.txt
AI,7,Human,./fake_poems/94.txt
AI,6,Human,./fake_poems/33.txt
AI,9,Human,./fake_poems/83.txt
AI,9,Human,./fake_poems/19.txt
AI,4,Human,./fake_poems/54.txt
AI,6,Human,./fake_poems/18.txt
AI,4,Human,./fake_poems/67.txt
AI,6,Human,./fake_poems/6.txt
AI,6,Human,./fake_poems/51.txt
Human,6,Human,./real_poems/24.txt
